Outcome,Week End,Age Group,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted
Hospitalizations,07/01/2023,65-79,"38,188","43,298","172,834",3,0,4
Hospitalizations,05/21/2022,65-79,"46,163","48,372","165,065",17,17,27
Hospitalizations,03/12/2022,65-79,"47,760","53,224","157,950",7,4,6
Hospitalizations,11/19/2022,65-79,"40,565","43,268","172,627",13,13,37
Hospitalizations,01/07/2023,65-79,"39,385","43,261","172,740",23,11,48
Hospitalizations,09/17/2022,65-79,"44,056","43,403","172,284",12,9,27
Hospitalizations,10/15/2022,65-79,"42,392","43,374","172,413",11,18,37
Hospitalizations,01/21/2023,65-79,"39,199","43,270","172,751",16,7,36
Hospitalizations,12/03/2022,65-79,"40,178","43,269","172,666",29,21,43
Hospitalizations,07/10/2021,65-79,"70,876","189,971",,3,3,
Hospitalizations,04/09/2022,65-79,"47,203","51,109","160,626",5,5,8
Hospitalizations,04/22/2023,65-79,"38,580","43,300","172,814",5,7,15
Hospitalizations,02/04/2023,65-79,"39,077","43,278","172,761",9,10,22
Hospitalizations,08/12/2023,65-79,"38,141","43,290","172,842",2,3,11
Hospitalizations,03/18/2023,65-79,"38,797","43,293","172,795",7,6,20
Hospitalizations,01/08/2022,65-79,"50,547","73,703","134,447",196,172,64
Hospitalizations,11/20/2021,65-79,"55,317","134,019","70,193",47,18,1
Hospitalizations,07/09/2022,65-79,"45,295","45,810","168,901",15,9,44
Hospitalizations,02/05/2022,65-79,"48,696","59,779","149,834",25,22,23
Hospitalizations,02/11/2023,65-79,"39,011","43,286","172,762",11,12,33
Hospitalizations,12/11/2021,65-79,"53,188","104,446","101,609",70,43,4
Hospitalizations,10/01/2022,65-79,"43,238","43,389","172,356",11,8,24
Hospitalizations,06/17/2023,65-79,"38,241","43,302","172,829",2,1,6
Hospitalizations,05/14/2022,65-79,"46,364","48,793","164,398",10,7,17
Hospitalizations,09/24/2022,65-79,"43,649","43,390","172,329",11,9,30
Hospitalizations,12/25/2021,65-79,"51,817","86,771","120,505",117,103,24
Hospitalizations,12/10/2022,65-79,"39,977","43,267","172,680",30,28,56
Hospitalizations,12/18/2021,65-79,"52,432","94,994","111,671",94,50,13
Hospitalizations,06/24/2023,65-79,"38,207","43,299","172,832",2,0,11
Hospitalizations,05/28/2022,65-79,"45,994","47,931","165,747",14,8,25
Hospitalizations,05/20/2023,65-79,"38,362","43,305","172,823",7,3,13
Hospitalizations,08/05/2023,65-79,"38,143","43,290","172,842",3,2,8
Hospitalizations,01/15/2022,65-79,"49,913","69,826","138,639",158,118,60
Hospitalizations,08/27/2022,65-79,"44,524","43,937","171,578",18,16,34
Hospitalizations,04/02/2022,65-79,"47,387","51,567","160,057",4,5,2
Hospitalizations,11/12/2022,65-79,"40,888","43,266","172,607",17,12,37
Hospitalizations,02/26/2022,65-79,"48,011","54,970","155,737",10,6,16
Hospitalizations,01/01/2022,65-79,"51,216","79,129","128,631",190,155,37
Hospitalizations,05/07/2022,65-79,"46,537","49,237","163,692",10,9,16
Hospitalizations,04/01/2023,65-79,"38,709","43,301","172,801",4,7,20
Hospitalizations,04/15/2023,65-79,"38,628","43,302","172,810",6,4,30
Hospitalizations,09/03/2022,65-79,"44,474","43,732","171,841",20,14,37
Hospitalizations,04/08/2023,65-79,"38,667","43,303","172,806",8,6,20
Hospitalizations,04/23/2022,65-79,"46,826","50,113","162,219",5,8,7
